id,text,label
31,14547 11349 25387 18754 17227 12163 8194 15469 12567 4054 ！ 15991 3218 27700 15098 3636 ， 25483 19121 26307 18947 12163 8224 13343 17018 14051 4274 11259 19121 26307 18947 28109 2281 10531 23832 19052 8194 1943 ， 12052 5239 10647 17494 9283 5111 4529 5046 14489 11259 19269 8100 9043 24073,5-30
32,3110 6285 8 29498 23146 21853 3240 7800 10449 929 9428 8346 10937 5609 18740 20669 15043 8222 ， 18496 26336 29547 13712 14547 3240 7800 4274 6049 13489 15532 21618 15469 18496 14547 3240 7800 4274 6049 13489 15532 21618 15469 ， 10449 929 9428 8346 19433 2124 4397 26336 23146 21853 10937 5609,2-3
33,4496 27173 2199 625 11846 1317 ， 29003 15098 235 29057 6762 13882 21694 16337 17281 19551 19436 ， 26417 15682 5489 5233 10300 22314 20431 4054 929 8766 19121 24058 8773 30249 22410 15098 3636 17281 25398 29627,2-2
34,23619 7661 28109 21105 14186 14684 15991 14501 27454 14547 9601 17441 2199 15469 16328 8679 29179 4198 104 23084 ， 929 26366 7661 19121 9283 5111 2281 8067 19654 30181 3262 8100 9043 17170 10723 ， 23619 7661 28109 30283 2106 10039 6203 29649,4-7
35,235 23926 27013 12196 10449 274 4767 9614 854 24586 233 4198 3240 7800 1258 10449 26564 85,2-3
36,25483 19121 26307 18947 12163 8224 13343 10922 19047 2106 10039 ， 26096 2281 23349 23259 4274 14489 25843 3218 4767 15647 6653 23904 17227 26096 3249 23832 19052 29038 30016 3144 8194 22410 17281 10723 11688 ， 21481 25085 8194 10937 13178 7923 1242 12443 21554,5-30
37,8251 8679 233 15766 4198 12153 8100 27700 705 7154 24583 13178 15098 3636 1317 ， 12153 8100 8644 10449 26328 14547 30208 23945 648 15469 18529 25504 24583 18239 4054 233 3664 25483 2545 14547 14668 19121 11342 15469 30100 17062 6653 13995 ， 10647 2797 12248 19340,6-29
38,25212 15991 27700 25585 13355 4685 28332 13462 7390 104 13839 29525 4969 15766 8679 233 2103 4198 104 23084 ， 27173 16337 27091 13535 8503 4198 24965 14489 8147 11688 274 25398 29627 17281 29038 30016 274 25483 19121 854 24586,2-6
39,25658 4529 24965 27013 12196 8022 25277 2281 12235 17281 25212 10449 274 3844 19121 1292 929 8189 15647 6653 23904 10037 21114 4235 17281 18911 9755 1317 ， 929 4004 22382 14232 4274 3848 2910 12567 25945 ， 4274 14547 5609 28461 27013 12196 15469 13462 14950 17281 16542 13846 23652 24053 1116,1-9
40,3110 6285 8 29498 17701 1602 20328 28332 2910 396 2446 10620 8194 2281 25130 10935 23832 19052 8194 26526 10238 20163 4685 25130 10935 2617 1053 13839 15912 10723 10300 10658 29179 4198 ， 29038 16328 15766 24360 17701 1602 20328 28332 2910 396 2446 10620 8194 2281 22812 12113 396 11766 25130 10935 23832 19052,5-30
41,10935 16542 9601 19121 19934 15318 24965 1826 14950 27323 15991 25483 19121 8146 10674 104 23084 ， 233 2103 16328 17525 1396 ， 10935 29731 20244 16542 19934 17281 5219 274 9601 19121 5540 19934 15318 ， 24965 10449 1390 6750 16902 1826 1317 2281 14976 9210 9601 14950 27323 ， 27427 25682 24965 19934 15785 8808 12790,5-12
42,979 11402 4529 25257 2281 25585 12206 10449 7154 30139 3263 14547 5012 27357 15469 30241 27427 25682 24583 15707 16648 12248 17281 12153 8100 12163 19339 625 4470 9963 13535 1258 12590 1222 26669 4054 10935 27950,6-13
43,25483 19121 27013 12196 3240 7800 19574 26313 10893 9043 25473 4772 12567 17281 8223 12763 7442 17969 10300 17281 19226 15604 ， 18496 10893 26366 233 2103 16328 8251 1396 27653 29003 15098 4054 14145 21857 233 1845 21871 25658,2-3
44,104 23084 1317 ， 16328 8679 16328 2103 4198 ， 27380 413 2990 16133 929 19897 13846 27013 12196 17281 24723 6082 18754 24583 15707 4054 18679 1030 17281 19433 23904 25504 16648 12248,6-13
45,23182 12235 2106 10039 ， 3095 10411 5697 4004 22382 14232 23052 20097 8503 21534 2103 2103 2103 20414 16122 3682 7286 ， 20850 20326 26462 26096 10411 6517 1116 8766 10723 24073 17281 29095 15318 15707 19938,2-33
46,1258 1390 1292 929 15439 2066 15439 15647 25133 3240 7800 23468 25585 19121 17202 ， 22705 2281 29179 8679 16328 4198 1317 12163 8224 13343 8641 15316 10063 6400 26934 17281 17256 15107 13535 14547 929 28705 13712 5609 28461 17281 17857 21473 979 7481 26725 8414 17281 3064 22241 15469,2-3
47,25483 19121 29842 2124 9023 233 21534 4198 3240 7800 24583 2106 29627 15107,2-3
48,4685 18430 104 13839 233 2103 4198 104 23084 1317 ， 7661 19121 27013 12196 26568 24058 4159 26437 4054 648 8224 11568 19395 22456 17281 3218 4767 28648 2224 854 ， 22705 23635 22131 7661 19121 7510 20414 10551 24053 23945 16337 30271 4235 19654 8019,1-10
49,28874 20097 23904 25945 ， 25483 19121 13535 2281 17058 14501 27454 26564 12763 ， 26564 85 14501 27454 1629 29547 13712 17281 14547 3144 9614 5379 2187 15469 ， 14547 19551 20866 24058 8773 21870 979 25672 ， 12567 29000 25203 7469 8223 4054 15469,1-10
50,25483 19121 16542 26417 17281 10411 6517 13658 9007 17568 22014 18244 19121 9019 22659 15758 10504,2-33
51,17018 1396 16328 8679 16328 8251 4198 ， 14489 25483 22241 14489 2066 14950 2990 23832 19052 8194 26526 ， 23259 749 929 1242 10446 14489 11259 13462 14950 21871 25658 760 20565 2545 25986 ， 13607 19492 14489 11259 24748 12221 23052 12772 24583 24558 2066 14950 5697 23084 16825 23052 12772 8808 12790 2066 14950,5-12
52,8100 28136 9210 19078 15707 14950 979 14477 4299 3696 22410 22007 4198 8147 979 141 30241 1292 929 9538 27322 27151 26526 ， 20850 4004 8100 24058 11414 2281 8067 7232 9192 16640 9192 23832 19052 1292 17997 30096 30241 1292 17062 20715 19328 9019 7052 8100 9043 28136 20531,6-15
53,15991 104 23084 ， 23308 25130 10879 8100 8147 233 16328 25163 25945 ， 12153 3519 6494 15912 14051 5931 14306 26417 2738 6653 13995 7424 10723 22410 5697 17062 9601 929 23308 25130 10879 24583 15707 1242 1834 16648 12248 ， 23308 30100 17062 9810 18947 17325 16511 18728 24169 4054 16542 9023 625 12567 16648 6653 13995,6-13
54,8808 12790 23503 2106 10039 ， 12520 27063 10647 26366 233 2103 233 2103 1396 21534 8679 18371 4198 2281 19654 21440 2124 16157 24053 642 12489 8750,6-21
55,20850 13535 ， 10935 6832 22382 3240 7800 12052 14501 ， 22705 16575 4873 27762 6380 2797 30241 4004 22382 14232 30241 8929 9925 22311 5697 2206 25130 5574 10879 19328 19121 8641 15316,2-3
56,648 8224 854 8147 10042 19642 18970 29555 10893 9043 ， 648 28648 2224 9023 24583 17256 23904 16614 6180 10042 19642 5710 28392 9043 9007 ， 23635 18505 14547 13516 20592 25112 20448 29956 23904 15469 18451 5111 24656 20508 ， 12153 28682 28648 19121 21720 24007 17281 14547 18359 7077 28461 22197 19052 15707 15469,1-4
57,25483 3994 14051 1823 30249 15465 3145 23904 3994 14051 21871 25658 17281 854 24586 12640 16337 9410 23404 14232 17997 25483 16337 25945 29498 14547 10238 20163 19121 3011 17062 10658 4969 17281 20089 26856 5602 9810 ， 28705 13712 4274 3848 19855 3994 14051 1823 8266 3262 22014 5238 8693 17281 13462 14950 17170 17409 15469,4-7
58,16328 2103 4198 ， 13778 17170 14232 9090 23259 13470 9023 24583 2106 2617 1053 1317 ， 4685 17227 18985 10300 104 13839 12170 17568 17281 13778 854 24586 2106 9007 20431 29099 17014 8513 ， 981 16957 3110 20448 ， 13778 8147 3240 7800 26823 11295 1258 22569 104 23084,2-3
59,10893 4529 ， 27762 6380 2797 10449 10596 4274 3848 19855 5697 25483 19121 1185 23259 13462 14950 25368 24583 1951 13767 27370 14145 ， 26307 10674 13178 1823 17170 14131 10059 749 ， 28874 26336 1951 13767 27370 14145 803 9680 4054 25483 19121 1185 23259 17281 24583 15707 25504,4-7
60,29207 28084 23372 16328 29179 4198 3240 7800 929 6762 29731 14232 53 17281 1826 29057 24583 2106 5933 10449 8209 29627 15107,2-3
61,29207 21694 19319 27078 28957 17170 10879 12373 9428 6837 18785 1317 29498 14547 19121 3011 19654 9043 2124 5697 4004 19121 12235 2124 8139 368 1744 1258 12590 12960 ， 18496 26336 7510 20414 929 3994 19052 30241 15318 9007 22542 8513 5697 15318 1030 28503 21473 16051 4397 10411 6517 15469,1-9
62,625 11846 23904 21853 2106 10039 ， 8766 2990 16133 17281 1258 11497 2705 15707 13535 26336 4054 27151 26526 8766 2990 16133 25585 18244 141 11766 10723 24073 30249 15465 23904 30072 16856 9410 16856 942 6809 21857 25219 26393 14325 25219 15784 25219 23261 25219 20923 2281 8251 8679 233 16328 4198 24965 15395 3037 10449 9043,6-19
63,104 23084 28874 1317 ， 12367 2133 4274 9601 19121 19121 13470 3844 24586 8836 28648 2224 9023 22737 927 3712 17281 8194 1943 ， 21874 29095 2106 25572 4054 5602 26366 14489 25843 19433 29640 8137 5933 19052 26082 15107 17281 8612 2124,5-30
64,16328 233 4198 ， 11259 28332 2199 104 23084 1317 ， 2281 25483 19121 20447 205 27091 26725 8414 11259 19121 8146 10674 24199 9531 10300 ， 26096 2281 9531 26694 25483 19121 17281 28109 13163 1938 2106 10039 ， 14547 28705 28874 13535 8750 6837 979 4054 6809 28503 17080 19328 23904 17281 27151 26526 20923 15469 ， 22705 3240 7800 8644 4198 14131 8147 22410 23084 14743,2-3
65,4685 8100 9043 10300 104 13839 104 23084 16511 14684 8766 1030 27145 3623 1744 8100 23904 24199 29003 29547 13712 11295 26336 25473 29732 16247 17281 30100 18430 19052 15707 ， 12153 6353 25203 28010 11513 30100 9023 13846 2066 14950 23904 24586 17281 28503 21473,1-10
66,27369 11732 27369 25945 ， 13178 8224 15912 27653 17281 23635 22131 21092 2281 9866 12567 10449 17014 4397 20010,2-11
67,1258 12331 20431 3848 8147 18754 4526 26564 7661 19121 26725 8414 3848 2910 28428 11497 5602 26366 20782 19938 5697 27321 10874 17281 15303 749 ， 20850 3240 7800 3848 2910 2281 4018 13470 2090 8147 22410 17281 15303 749,2-3
68,6762 4925 27091 10449 24053 23532 26725 8414 2124 16157 8808 12790 10300 25257 8322 11295 4274 4837 22495 14232 17170 20097 20163 13489 5602 9810 ， 9672 8679 25682 1506 23953 3099 26823 11295,2-25
69,12482 8147 26669 15707 19339 25504 11583 1938 17062 16648 ， 13778 8147 2617 1317 12248 19340 233 26328 235 23926 19339 25504 ， 22705 12100 5540 4054 10449 274 235 23926 18529 19052 24586 ， 8766 18529 19052 24586 2281 16328 4198 24965 2224 28874 12029 235 23926 8147 22410,6-29
70,2286 1396 ， 25483 19121 26307 18947 12163 8224 13343 17515 8147 22410 14018 26669 29640 23349 26526 22705 24053 23532 929 648 8224 17861 27700 24540 21326 726 21748 2545 25986,6-8
71,2124 19121 30241 7661 19121 30241 18244 19121 26568 9963 10893 2106 25572 5602 18313 ， 25483 19121 26307 18947 12163 8224 13343 23635 22131 648 8224 26564 14547 28438 13516 11688 15469,2-33
72,12075 413 4004 12640 10879 3994 17062 6316 23503 15766 8679 16328 8251 4198 2106 10039 ， 14976 29869 24199 9273 27369 18371 16328 18371 6637 25504,6-15
73,21357 25473 2281 27013 15439 19506 19506 4106 10723 25130 23904 5609 15439 26307 11760 24808 29207 16337 9410 8718 1662 15972 16614 6180 21357 23084 14743,1-4
74,929 10893 ， 2124 19121 28900 27013 9023 22737 19319 5292 16337 15912 14051 18970 29555 25945 ， 2124 19121 27013 12196 10647 7493 15316 14328 19052 1258 21871 18890 21649 26154 749,1-9
75,104 23084 28874 21004 4873 ， 30100 18430 13688 9283 5111 233 2103 16328 17525 27322 233 2103 233 16328 1396 23926 2281 9671 10077 25504 26754 16868 3144 9023 23598 16328 8251 26328 14547 15683 4740 15469 ， 3110 749 17018 7634 25483 19121 2224 16754 29038 10449 25398 1845 26328,6-15
76,15991 23635 8147 8808 12790 ， 29179 233 10260 17281 20062 5298 23743 7390 2281 17525 2103 1396 4438 9963 24053 23532 8641 15316 15439 28648 7906 15707 ， 7360 2166 10449 10596 13535 5609 5933 15439 17281 14547 27095 25 15469 8641 15316 11342,5-12
77,1938 5602 15465 15506 10647 18319 14547 3994 23452 1823 15469 30241 14547 23452 23635 26307 4470 15469 28682 14547 19654 13716 15469 19328 19654 9043 17515 1390 8808 12790 4745 28392 ， 22705 10647 16868 2124 21004 26669 85 13032,5-12
78,1943 4873 1258 3144 8194 17799 21092 26754 17281 14208 13433 ， 12163 8224 13343 4274 13343 1394 625 7577 23084 29498 14547 9963 22736 4106 14232 29207 19116 19781 29976 22325 10449 12590 ， 19269 11414 3385 27397 15469,5-30
79,7923 20097 9538 11342 11295 26336 23308 27013 12196 8100 10647 4274 7342 16337 18244 5379 1065 13462 14950 ， 5531 12248 30016 11342 17281 23052 12772 21322 23904 27762 6380 2797 17675 15647 8100 ， 1258 19897 12029 1292 27013 12196 5379 1065 4772 12567 4054 10449 749 3292 11057,2-6
80,12075 28682 28109 19938 9023 22737 1662 3262 18244 9410 13821 13554 8718 16328 16328 8679 16328 2103 4198 20781 13178 4054 1258 10449 14976 28751 24583 21092,1-9
81,8251 8679 ， 12163 8224 13343 24583 6527 12163 10411 6517 ， 19636 10645 979 12029 12763 8266 492 ， 9963 1730 27013 12196 10760 22314,2-33
82,27322 26366 18371 2103 17653 25483 12766 14547 29555 28709 17170 17227 15469 ， 25483 19121 19121 30100 9023 9283 5111 26417 2738 9935 233 2103 17653 25483 12766 ， 7154 8750 2286 1396 10449 9810 6494 17861 16542 14051 14208 5834 6516 25682 25473 4526 5574 22986 5697 12170 12846,5-35
83,15991 25483 19121 30100 13470 27700 705 104 23084 ， 12153 3519 6494 19047 30016 2106 10039 ， 26568 24058 4397 15069 24569 9210 4054 8766 19121 9935 5933 17281 14547 21159 27370 21534 15469 6653 13995 30100 17954 9810 18947 ， 8766 9810 18947 16456 25501 18067 17954 29235 4938 13995 23084 6653 13995 17281 10411 6517,1-9
84,10922 3144 25585 22690 16542 16274 1082 20447 26336 4767 3696 17281 3110 18496 13535 14547 25483 19121 18496 20592 29212 2797 22103 1292 20447 205 27091 929 648 8224 17281 561 10204 2545 25986 26564 85 10647 2797 17568 3918 15469 ， 27363 9981 ， 1258 3144 10841,2-25
85,12772 10449 14051 ， 25483 19121 3042 21015 16542 4807 854 24586 2106 10039 ， 25483 8147 10539 11526 12052 10446 8679 9963 3734 14489 24540 10723 14395 27166 7923 1242 25483 8100 24748 12221 4274 14489 8147 1451 24053 22410 929 22410 1943 10274,1-1
86,2281 9601 19121 20781 13178 8644 104 8842 274 17515 9601 25585 26313 8237 8137 14051 2166 14208 17281 17525 8679 10922 18532 ， 25483 19121 8711 25442 23349 8194 10647 25398 29627 18834 9979 929 6636 12163 8224 13343 27013 12196,2-6
87,29207 16337 2281 13282 17701 20447 8194 26526 10922 2106 10039 ， 28965 1951 29265 12772 20448 10647 14976 29869 26417 2738 14547 18229 4438 15469 8147 18754 12567 6837 26154 28943 23025 ， 13607 19492 8808 6837,1-9
88,233 2103 2103 18371 1396 29179 8679 ， 8679 10646 2410 13435 25163 2281 17857 4397 4054 8808 12790 15506 13470 25682 8482 8644 8679 13114 2106 22410 ， 17857 4397 3218 10722 26417 1030,5-12
89,8503 4198 ， 13700 16542 25130 10879 4438 8750 28648 22737 19897 9963 10893 2617 1053 1317 ， 22016 19395 20458 23404 12520 979 7875 2738 27095 27331 ， 9601 8147 979 29555 19636 10893 25085 19642 14477 12520,1-9
90,12075 16337 1242 28503 16614 6180 5609 20983 14547 23958 3662 25483 12766 12567 25203 7469 27762 6380 2797 760 21552 28648 19121 28525 12248 15469 ， 22705 4430 27363 11497 10647 29731 16856 16576 16430 4397 25483 12766 17281 23904 3644 26336 14547 6680 19121 11342 15469,1-4
91,29547 13712 979 10300 15014 19052 ， 26564 85 27013 12196 25203 7469 25848 24965 27908 2281 23308 25130 10879 17281 7661 19121 10937 5609 ， 16190 2797 13535 8346 2410 19335 27160,6-28
92,15912 10723 10300 10658 18371 8679 17525 4198 ， 10039 10411 11342 4767 23832 25483 19121 19121 15830 ， 16614 6180 25483 19121 14547 6837 20791 19910 23452 15469,1-4
93,18371 8679 233 15766 4198 ， 25483 19121 26307 18947 12163 8224 13343 2281 28332 13462 19121 16542 8194 25398 29627 9601 19121 6336 2738 19121 3011 561 10204 2545 23926,2-6
94,16328 18371 17525 2103 1396 ， 10300 15506 8100 3844 12553 26307 23468 20508 22737 17988 20447 28392 10647 8100 23468 3934 25483 3994 13971 ， 25483 8100 12153 25203 1357 26336 18319 ， 979 1730 28705 13712 16638 26041 3994 13971 10922 17281 30181 21326 ， 26564 85 28705 13712 25203 15316 10449 749 8169 29099 3934 9866,1-10
95,15506 26096 19269 929 11732 11732 27369 1317 ， 5120 6353 7661 19121 27013 12196 26154 749 25277 7558 20447 26336 23468 4274 8766 19121 17281 1845 10811 29525 1211 8266 30181 ， 20447 26336 19897 979 8194 18496 10893 7251 21105 ， 14547 28705 13712 8194 25131 8327 2281 7661 19121 24445 21105 15469,6-31
96,29547 28874 2106 10039 ， 20060 18542 14489 25483 15647 6653 23904 29038 30016 3144 8194 17799 2281 8503 20060 23832 19052 ， 12772 10300 20060 18542 14489 25843 3218 4767 15647 6653 23904 17227 26096 3249 2281 14489 25483 15647 6653 23904 8194 17799 25682 9531 26694 396 16337,5-30
97,4198 14131 27360 15107 11295 26336 ， 2281 220 4197 26694 8 10922 25585 7230 929 4198 25398 29627 2617 17281 11259 19121 4274 1292 929 17861 21004 26568 6837 26154 26694 8 17281 4198 14131 ， 10941 11342 10658 17281 1879 19585 4274 4198 7848 20714,2-6
98,9601 23052 9601 17441 27013 19436 1823 11414 3844 30241 9601 17441 23796 3844 11760 24808 16784 23829 3011 233 18371 4198 2281 11021 15683 14501 19121 24457 22666 8194 26437 8718 17404 16337 26307 18947 28018 25572 29731,5-30
99,5718 141 979 10059 749 18496 12710 17281 13343 12163 8194 233 18736 2103 7424 12163 8224 13343 20781 13178 10647 3734 13778 9628 23468 25585 23796 20634 2705 15707 22014 ， 10449 10596 20097 15098 3636 1317 12163 8224 13343 10647 5697 13343 1394 2281 2124 19121 5933 19052 29038 30016 3144 8194 17799,5-30
100,18244 19121 27700 705 12459 3644 14501 233 8251 4198 1317 ， 1258 13535 18244 19121 28461 18132 8146 10674 396 3144 25398 29627 8414 6516 19121 17281 23796 20634 2705 15707,1-9
