id,label
234,1-10
235,1-9
236,1-9
237,6-31
238,1-1
239,6-15
240,1-1
241,1-10
242,1-10
243,1-9
244,1-1
245,5-30
246,5-30
247,5-30
248,1-4
249,1-10
250,1-9
251,1-4
252,6-15
253,1-10
254,6-15
255,1-9
256,6-13
257,1-1
258,2-33
259,5-12
260,1-4
261,6-15
262,6-29
263,4-7
264,2-2
265,1-4
266,1-1
267,6-15
268,2-33
269,1-9
270,5-30
271,1-4
272,5-30
273,2-3
274,5-35
275,5-35
276,2-2
277,1-4
278,1-4
279,5-30
280,1-1
281,1-4
282,5-30
283,5-30
284,2-6
285,2-33
286,1-4
287,2-3
288,1-4
289,6-13
290,1-10
291,6-34
292,2-2
293,6-31
294,1-9
295,6-21
296,5-30
297,1-9
298,2-6
299,2-33
300,1-9
301,1-9
302,1-9
303,6-29
304,2-11
305,1-1
306,1-1
307,2-14
308,1-9
309,1-9
310,5-30
311,1-10
312,6-8
313,2-2
314,1-4
315,2-3
316,1-4
317,4-7
318,2-2
319,4-7
320,2-3
321,6-15
322,2-33
323,2-3
324,6-8
325,1-10
326,2-2
327,6-28
328,5-30
329,2-2
330,6-29
331,1-9
332,2-6
333,2-2
334,6-13
335,6-8
336,1-9
337,2-6
338,1-1
339,6-21
340,2-3
341,6-19
342,1-9
343,2-2
344,2-33
345,2-6
346,1-1
347,2-3
348,5-30
349,2-3
350,4-7
351,1-4
352,6-31
353,5-30
354,5-30
355,6-34
356,2-11
357,2-25
358,5-35
359,6-8
360,5-35
361,1-9
362,6-29
363,4-7
364,1-9
365,5-30
366,1-4
367,1-9
368,5-30
369,6-13
370,2-25
371,6-8
372,4-7
373,1-1
374,2-3
375,6-13
376,6-28
377,2-33
378,5-30
379,1-9
380,2-2
381,5-30
382,5-30
383,1-4
384,6-29
385,1-10
386,2-6
387,6-15
388,1-4
389,1-4
390,2-33
391,5-12
392,2-3
393,5-30
394,2-3
395,2-6
396,1-9
397,5-35
398,6-31
399,2-14
400,2-33
401,2-2
402,1-9
403,4-7
404,5-30
405,1-4
406,2-2
407,1-9
408,2-6
409,2-6
410,1-9
411,6-32
412,1-1
413,1-1
414,6-29
415,6-28
416,2-14
417,1-10
418,6-34
419,5-35
420,1-10
421,2-3
422,6-19
423,5-30
424,4-7
425,6-15
426,1-1
427,1-9
428,2-2
429,5-30
430,2-33
431,1-9
432,6-13
433,1-1
434,2-11
435,5-30
436,5-12
437,2-2
438,5-35
439,1-10
440,2-6
441,1-4
442,1-1
443,5-35
444,5-30
445,1-4
446,1-4
447,4-7
448,2-6
449,1-10
450,6-21
451,1-9
452,5-30
453,2-33
454,5-30
455,6-29
456,5-30
457,2-33
458,5-35
459,1-9
460,1-1
461,6-15
462,1-4
463,6-29
464,1-4
465,1-9
466,1-9
467,5-30
468,1-1
469,1-9
470,1-4
471,2-14
472,2-3
473,5-30
474,6-31
475,6-29
476,5-30
477,5-35
478,2-3
479,4-7
480,1-4
481,1-9
482,2-6
483,2-2
484,2-3
485,5-12
486,6-28
487,5-22
488,1-1
489,2-33
490,2-25
491,2-14
492,6-13
493,2-33
494,5-30
495,5-30
496,1-9
497,1-10
498,2-6
499,5-30
500,6-15
501,2-2
502,6-8
503,1-1
504,1-10
505,2-3
506,6-8
507,1-1
508,1-4
509,1-10
510,1-4
511,2-6
512,1-10
513,1-1
514,2-2
515,2-6
516,2-3
517,1-4
518,5-12
519,1-9
520,2-6
521,6-13
522,1-1
523,6-15
524,5-30
525,2-2
526,5-22
527,1-1
528,1-1
529,5-30
530,6-29
531,1-1
532,5-12
533,1-1
534,5-30
535,6-32
536,1-9
537,1-9
538,1-1
539,2-11
540,1-10
541,5-30
542,1-10
543,1-9
544,1-9
545,2-2
546,1-4
547,1-9
548,6-15
549,6-31
550,4-7
551,1-9
552,2-6
553,1-4
554,1-4
555,1-4
556,5-30
557,1-10
558,2-3
559,2-33
560,4-7
561,1-4
562,1-9
563,6-28
564,1-10
565,2-11
566,1-1
567,6-19
568,2-6
569,1-10
570,2-33
571,6-15
572,1-4
573,2-14
574,2-3
575,2-6
576,5-30
577,6-28
578,1-4
579,2-11
580,1-9
581,4-7
582,1-4
583,5-35
584,5-22
585,2-6
586,1-1
587,2-6
588,1-9
589,5-30
590,5-30
591,6-29
592,1-9
593,6-19
594,1-9
595,2-3
596,1-4
597,1-4
598,5-12
599,1-9
600,5-30
601,2-6
602,6-19
603,2-33
604,1-10
605,4-7
606,2-2
607,6-29
608,5-30
609,6-19
610,1-4
611,5-30
612,5-30
613,5-35
614,5-30
615,5-30
616,2-6
617,2-3
618,1-4
619,2-3
620,2-6
621,2-3
622,5-30
623,5-30
624,5-30
625,1-10
626,1-4
627,1-9
628,6-28
629,1-10
630,1-4
631,2-3
632,6-15
633,6-34
634,2-3
635,2-2
636,6-29
637,2-3
638,5-22
639,6-34
640,1-10
641,1-4
642,6-34
643,5-35
644,5-30
645,6-13
646,4-7
647,2-2
648,6-28
649,6-15
650,2-2
651,2-2
652,6-21
653,6-31
654,2-11
655,1-1
656,1-4
657,5-30
658,1-1
659,5-30
660,6-31
661,1-10
662,2-2
663,2-6
664,5-30
665,5-35
666,5-30
667,1-10
668,1-1
669,2-3
670,2-33
671,5-30
672,6-34
673,1-1
674,1-4
675,6-13
676,5-22
677,2-6
678,2-3
679,2-6
680,2-2
681,1-1
682,2-2
683,2-11
684,5-22
685,1-9
686,2-6
687,5-22
688,5-30
689,5-35
690,6-13
691,5-30
692,1-1
693,1-9
694,1-10
695,5-22
696,6-19
697,1-4
698,6-15
699,1-9
700,1-9
701,1-1
702,2-2
703,1-1
704,4-7
705,2-3
706,1-9
707,4-7
708,1-4
709,1-4
710,2-2
711,2-33
712,6-15
713,1-4
714,2-2
715,1-1
716,4-7
717,1-1
718,6-34
719,2-2
720,2-3
721,6-29
722,1-10
723,2-33
724,1-1
725,1-1
726,2-6
727,1-9
728,2-2
729,2-14
730,6-21
731,2-33
732,1-1
733,4-7
734,5-12
735,6-15
736,2-2
737,2-33
738,1-9
739,1-4
740,2-3
741,2-6
742,1-9
743,1-1
744,1-9
745,1-4
746,2-14
747,1-9
748,1-10
749,2-3
750,5-35
751,5-30
752,2-3
753,5-30
754,4-7
755,2-33
756,6-15
757,1-9
758,2-6
759,1-10
760,2-11
761,4-7
762,1-4
763,6-8
764,1-9
765,6-28
766,1-10
767,1-10
768,5-30
769,1-10
770,2-11
771,1-10
772,2-6
773,5-30
774,6-8
775,6-8
776,2-3
777,6-8
778,1-10
779,1-4
780,2-33
781,1-1
782,1-9
783,1-9
784,6-28
785,1-1
786,2-3
787,5-12
788,1-4
789,5-30
790,6-28
791,1-1
792,1-1
793,5-24
794,2-6
795,1-4
796,5-30
797,6-29
798,1-9
799,5-35
800,2-3
801,1-9
802,5-35
803,4-7
804,1-1
805,1-1
806,6-31
807,5-30
808,5-30
809,2-33
810,2-33
811,5-22
812,2-3
813,2-2
814,1-9
815,1-10
816,2-2
817,5-35
818,2-33
819,2-6
820,1-1
821,6-15
822,1-1
823,2-2
824,2-3
825,6-13
826,2-3
827,2-6
828,4-7
829,6-15
830,1-4
831,4-7
832,1-1
833,2-3
834,2-3
835,2-33
836,2-33
837,2-6
838,5-30
839,1-4
840,5-30
841,2-14
842,6-13
843,6-21
844,5-30
845,6-15
846,5-30
847,5-35
848,2-25
849,2-2
850,2-6
851,1-9
852,1-10
853,4-7
854,2-3
855,5-30
856,2-3
857,1-9
858,1-9
859,6-31
860,1-9
861,6-15
862,2-6
863,6-31
864,6-8
865,5-30
866,1-9
867,6-29
868,2-3
869,5-30
870,2-3
871,5-30
872,6-29
873,2-33
874,1-1
875,2-3
876,2-33
877,2-6
878,1-4
879,5-30
880,1-1
881,2-3
882,2-3
883,5-30
884,2-3
885,2-3
886,1-4
887,5-30
888,6-19
889,1-9
890,6-29
891,1-4
892,1-1
893,2-3
894,2-33
895,5-30
896,6-29
897,2-6
898,1-9
899,2-3
900,1-9
901,6-8
902,6-29
903,1-4
904,1-9
905,1-1
906,1-4
907,2-6
908,2-14
909,2-33
910,6-8
911,6-31
912,1-1
913,5-30
914,1-9
915,5-35
916,5-30
917,2-3
918,6-29
919,4-7
920,1-9
921,1-1
922,2-33
923,1-10
924,2-2
925,1-9
926,5-30
927,1-10
928,6-15
929,6-28
930,5-30
931,2-3
932,2-2
933,1-9
934,2-3
935,2-33
936,2-25
937,1-1
938,1-10
939,2-2
940,5-24
941,6-15
942,2-2
943,6-15
944,2-3
945,6-28
946,2-3
947,1-9
948,1-4
949,2-25
950,5-30
951,2-3
952,1-9
953,2-3
954,5-12
955,5-30
956,5-30
957,2-25
958,5-22
959,2-2
960,1-10
961,6-8
962,5-30
963,1-4
964,5-12
965,1-9
966,6-29
967,2-6
968,1-9
969,5-30
970,6-15
971,4-7
972,1-1
973,5-30
974,1-9
975,2-6
976,2-33
977,1-9
978,4-7
979,1-1
980,1-9
981,2-25
982,1-4
983,5-22
984,1-9
985,2-25
986,1-4
987,5-30
988,5-35
989,1-9
990,5-30
991,1-1
992,4-7
993,6-29
994,1-10
995,5-30
996,1-9
997,1-1
998,1-1
999,1-1
1000,6-8
1001,6-15
1002,2-2
1003,4-7
1004,2-3
1005,5-30
1006,2-14
1007,2-6
1008,1-9
1009,1-4
1010,6-34
1011,1-9
1012,4-7
1013,1-1
1014,2-3
1015,4-7
1016,6-34
1017,1-4
1018,2-2
1019,1-10
1020,5-30
1021,1-4
1022,6-8
1023,2-2
1024,1-9
1025,1-9
1026,5-30
1027,1-4
1028,6-34
1029,5-30
1030,2-6
1031,1-4
1032,1-10
1033,1-10
1034,2-3
1035,6-21
1036,1-9
1037,1-9
1038,2-2
1039,1-4
1040,2-33
1041,1-9
1042,6-32
1043,2-33
1044,1-9
1045,2-33
1046,1-9
1047,2-2
1048,6-13
1049,5-35
1050,2-2
1051,1-1
1052,6-28
1053,6-32
1054,6-15
1055,5-35
1056,5-35
1057,2-14
1058,1-9
1059,6-34
1060,2-6
1061,2-2
1062,6-15
1063,5-30
1064,1-10
1065,6-28
1066,5-12
1067,2-2
1068,1-4
1069,6-15
1070,2-6
1071,6-15
1072,5-12
1073,6-13
1074,2-14
1075,1-1
1076,2-3
1077,2-2
1078,1-10
1079,6-31
1080,2-2
1081,1-4
1082,2-6
1083,2-3
1084,2-3
1085,2-33
1086,1-1
1087,1-9
1088,1-9
1089,1-9
1090,2-33
1091,6-15
1092,2-25
1093,2-33
1094,5-12
1095,5-30
1096,2-11
1097,6-28
1098,5-30
1099,6-8
1100,6-29
1101,2-3
1102,1-4
1103,5-30
1104,2-6
1105,1-4
1106,1-4
1107,4-7
1108,5-24
1109,6-8
1110,1-4
1111,6-15
1112,5-30
1113,6-8
1114,2-3
1115,5-30
1116,1-1
1117,2-6
1118,2-33
1119,6-29
1120,2-33
1121,1-4
1122,6-13
1123,1-10
1124,2-2
1125,1-1
1126,1-9
1127,6-21
1128,4-7
1129,5-30
1130,6-13
1131,5-35
1132,6-15
1133,5-30
1134,5-30
1135,1-1
1136,6-19
1137,6-15
1138,2-25
1139,2-14
1140,6-15
1141,2-2
1142,6-15
1143,1-10
1144,6-15
1145,1-9
1146,1-1
1147,2-25
1148,4-7
1149,6-29
1150,2-25
1151,1-1
1152,5-12
1153,6-8
1154,2-3
1155,2-3
1156,2-6
1157,2-3
1158,2-3
1159,2-33
1160,1-1
1161,2-3
1162,6-8
1163,1-9
1164,2-6
1165,2-3
1166,2-6
1167,2-33
1168,1-9
1169,1-9
1170,1-4
1171,1-9
1172,1-1
1173,2-3
1174,2-3
1175,6-34
1176,2-2
1177,1-9
1178,6-19
1179,6-28
1180,5-35
1181,6-21
1182,2-33
1183,5-30
1184,6-21
1185,2-2
1186,6-32
1187,1-9
1188,6-28
1189,2-33
1190,2-3
1191,4-7
1192,6-8
1193,5-30
1194,1-9
1195,5-30
1196,2-3
1197,2-6
1198,1-10
1199,1-9
1200,6-8
1201,5-30
1202,1-1
1203,1-9
1204,1-4
1205,5-24
1206,2-6
1207,1-1
1208,5-35
1209,1-9
1210,6-32
1211,1-9
1212,5-35
1213,1-1
1214,1-9
1215,1-9
1216,5-30
1217,6-29
1218,2-33
1219,1-9
1220,5-30
1221,2-6
1222,2-14
1223,4-7
1224,6-28
1225,2-2
1226,1-10
1227,5-30
1228,2-14
1229,5-35
1230,6-29
1231,2-6
1232,1-4
1233,5-30
1234,1-1
1235,1-10
1236,4-7
1237,6-13
1238,1-4
1239,5-30
1240,2-25
1241,1-4
1242,1-9
1243,6-13
1244,2-2
1245,1-1
1246,6-13
1247,4-7
1248,2-25
1249,1-1
1250,2-2
1251,2-6
1252,6-15
1253,5-30
1254,5-30
1255,1-9
1256,2-11
1257,2-3
1258,2-3
1259,5-30
1260,1-1
1261,5-22
1262,6-15
1263,6-31
1264,1-4
1265,1-9
1266,5-30
1267,2-2
1268,2-3
1269,6-29
1270,5-30
1271,1-1
1272,2-6
1273,1-9
1274,5-12
1275,2-2
1276,2-6
1277,1-9
1278,6-15
1279,5-30
1280,2-2
1281,5-30
1282,1-9
1283,1-1
1284,2-2
1285,1-4
1286,1-4
1287,5-35
1288,6-29
1289,2-33
1290,1-10
1291,1-1
1292,2-25
1293,1-1
1294,6-15
1295,1-1
1296,2-25
1297,5-30
1298,5-30
1299,1-10
1300,1-1
1301,5-30
1302,6-28
1303,1-4
1304,1-9
1305,1-1
1306,1-10
1307,1-4
1308,6-29
1309,6-28
1310,1-4
1311,6-31
1312,2-3
1313,2-14
1314,6-15
1315,6-28
1316,2-3
1317,1-1
1318,2-6
1319,5-30
1320,2-6
1321,2-25
1322,5-22
1323,6-29
1324,1-4
1325,6-29
1326,1-9
1327,1-10
1328,5-30
1329,6-34
1330,2-33
1331,5-30
1332,5-30
1333,6-29
1334,6-32
1335,2-2
1336,2-3
1337,1-4
1338,1-1
1339,6-15
1340,6-13
1341,1-10
1342,1-9
1343,5-30
1344,5-30
1345,2-3
1346,6-34
1347,6-28
1348,1-9
1349,5-30
1350,1-4
1351,4-7
1352,1-9
1353,2-3
1354,2-33
1355,1-9
1356,2-6
1357,6-28
1358,2-33
1359,6-19
1360,2-3
1361,6-15
1362,2-33
1363,2-33
1364,4-7
1365,2-6
1366,1-4
1367,6-21
1368,1-4
1369,2-6
1370,1-9
1371,1-9
1372,6-13
1373,2-2
1374,2-25
1375,1-1
1376,5-30
1377,5-30
1378,2-14
1379,2-2
1380,6-15
1381,2-2
1382,2-3
1383,2-6
1384,1-1
1385,5-30
1386,1-1
1387,1-4
1388,4-7
1389,1-10
1390,1-1
1391,6-13
1392,1-9
1393,2-25
1394,2-6
1395,2-3
1396,1-1
1397,1-10
1398,4-7
1399,1-4
1400,1-10
1401,2-25
1402,2-2
1403,4-7
1404,1-1
1405,2-33
1406,6-15
1407,5-30
1408,5-22
1409,1-10
1410,1-10
1411,1-1
1412,1-4
1413,1-10
1414,1-4
1415,2-3
1416,1-9
1417,6-28
1418,1-9
1419,2-11
1420,6-31
1421,2-6
1422,1-9
1423,6-34
1424,5-22
1425,2-6
1426,2-6
1427,1-4
1428,1-9
1429,5-35
1430,6-28
1431,2-14
1432,5-12
1433,2-11
1434,2-2
1435,1-10
1436,5-30
1437,4-7
1438,6-29
1439,1-10
1440,6-8
1441,2-33
1442,6-32
1443,2-3
1444,2-33
1445,5-30
1446,6-13
1447,2-6
1448,1-4
1449,6-8
1450,1-1
1451,2-3
1452,1-10
1453,2-2
1454,1-10
1455,1-10
1456,1-1
1457,6-32
1458,5-30
1459,6-15
1460,5-30
1461,1-9
1462,2-3
1463,2-14
1464,1-10
1465,5-30
1466,2-3
1467,1-1
1468,5-30
1469,1-1
1470,6-13
1471,1-9
1472,1-10
1473,5-12
1474,2-6
1475,1-1
1476,5-22
1477,1-1
1478,2-2
1479,2-6
1480,5-30
1481,4-7
1482,6-31
1483,2-6
1484,1-9
1485,2-2
1486,1-9
1487,2-14
1488,1-9
1489,1-9
1490,5-35
1491,1-1
1492,2-33
1493,6-31
1494,6-32
1495,5-30
1496,1-1
1497,6-15
1498,6-34
1499,5-22
1500,6-28
1501,5-12
1502,1-9
1503,1-4
1504,6-13
1505,5-30
1506,4-7
1507,6-28
1508,2-3
1509,5-22
1510,6-28
1511,2-33
1512,1-10
1513,1-1
1514,2-2
1515,5-30
1516,2-3
1517,6-15
1518,2-3
1519,4-7
1520,6-31
1521,5-30
1522,1-4
1523,1-9
1524,2-6
1525,1-10
1526,5-30
1527,1-10
1528,5-30
1529,5-30
1530,2-25
1531,5-35
1532,6-19
1533,2-6
1534,6-31
1535,2-25
1536,4-7
1537,5-30
1538,1-9
1539,6-19
1540,1-4
1541,6-21
1542,5-30
1543,2-6
1544,2-3
1545,6-15
1546,6-8
1547,1-4
1548,5-22
1549,2-3
1550,1-4
1551,2-3
1552,1-4
1553,1-9
1554,1-4
1555,2-6
1556,2-3
1557,5-30
1558,6-32
1559,5-22
1560,2-33
1561,1-9
1562,2-6
1563,1-9
1564,6-15
1565,6-31
1566,2-33
1567,2-3
1568,1-9
1569,6-15
1570,1-9
1571,1-9
1572,5-35
1573,5-30
1574,6-19
1575,4-7
1576,6-15
1577,1-9
1578,2-2
1579,1-1
1580,1-9
1581,5-30
1582,6-31
1583,2-33
1584,2-33
1585,2-6
1586,1-1
1587,2-3
1588,1-10
1589,6-8
1590,6-15
1591,2-25
1592,1-4
1593,6-15
1594,2-6
1595,5-30
1596,6-28
1597,6-19
1598,2-2
1599,5-30
1600,2-2
1601,2-6
1602,1-1
1603,1-10
1604,6-34
1605,1-9
1606,1-4
1607,2-3
1608,6-15
1609,1-10
1610,5-30
1611,2-14
1612,2-33
1613,1-1
1614,2-2
1615,1-4
1616,2-6
1617,5-30
1618,4-7
1619,6-15
1620,2-33
1621,6-21
1622,1-4
1623,2-2
1624,6-8
1625,2-6
1626,5-30
1627,4-7
1628,5-35
1629,1-1
1630,4-7
1631,1-4
1632,2-3
1633,6-15
1634,2-33
1635,1-9
1636,1-4
1637,2-33
1638,4-7
1639,4-7
1640,2-3
1641,1-10
1642,4-7
1643,6-15
1644,5-30
1645,2-3
1646,2-25
1647,1-9
1648,2-11
1649,2-6
1650,1-9
1651,2-3
1652,1-9
1653,2-2
1654,6-13
1655,1-10
1656,6-15
1657,6-28
1658,2-3
1659,1-4
1660,2-25
1661,1-10
1662,5-35
1663,2-2
1664,5-12
1665,2-3
1666,2-3
1667,6-34
1668,2-6
1669,2-33
1670,5-30
1671,5-30
1672,2-11
1673,2-2
1674,6-15
1675,1-9
1676,1-10
1677,1-9
1678,6-15
1679,2-2
1680,1-10
1681,1-4
1682,1-1
1683,2-33
1684,6-19
1685,5-30
1686,5-35
1687,2-33
1688,2-2
1689,6-29
1690,6-34
1691,6-19
1692,1-9
1693,1-10
1694,5-35
1695,1-9
1696,1-9
1697,1-1
1698,1-1
1699,1-9
1700,1-1
1701,5-30
1702,5-22
1703,6-32
1704,5-30
1705,4-7
1706,1-9
1707,1-9
1708,2-3
1709,2-6
1710,6-34
1711,2-6
1712,5-30
1713,6-13
1714,2-3
1715,6-15
1716,1-4
1717,1-1
1718,6-15
1719,2-2
1720,5-30
1721,6-34
1722,2-2
1723,1-9
1724,2-3
1725,6-31
1726,1-1
1727,1-1
1728,5-30
1729,1-9
1730,4-7
1731,2-2
1732,1-9
1733,2-33
1734,6-8
1735,1-9
1736,1-9
1737,1-9
1738,5-30
1739,1-9
1740,1-1
1741,1-4
1742,1-9
1743,1-4
1744,1-10
1745,2-2
1746,2-3
1747,6-29
1748,6-15
1749,2-33
1750,1-10
1751,2-33
1752,5-30
1753,1-9
1754,1-4
1755,1-9
1756,6-28
1757,2-6
1758,1-4
1759,1-1
1760,2-2
1761,1-10
1762,1-10
1763,5-35
1764,1-4
1765,1-1
1766,2-33
1767,1-1
1768,2-3
1769,1-4
1770,2-6
1771,1-9
1772,6-8
1773,2-11
1774,2-33
1775,2-25
1776,5-30
1777,6-31
1778,2-3
1779,1-9
1780,2-33
1781,5-30
1782,2-2
1783,6-15
1784,1-9
1785,2-3
1786,1-9
1787,1-1
1788,2-2
1789,5-22
1790,2-3
1791,5-30
1792,6-8
1793,2-25
1794,5-12
1795,6-13
1796,6-34
1797,1-10
1798,2-3
1799,1-4
1800,2-14
1801,2-11
1802,2-2
1803,2-3
1804,1-4
1805,2-6
1806,2-3
1807,2-2
1808,5-12
1809,2-6
1810,1-1
1811,2-33
1812,1-10
1813,2-2
1814,5-30
1815,2-11
1816,2-6
1817,1-9
1818,1-9
1819,5-30
1820,4-7
1821,1-1
1822,2-25
1823,2-2
1824,1-10
1825,2-33
1826,4-7
1827,5-35
1828,1-10
1829,4-7
1830,1-4
1831,6-21
1832,1-9
1833,2-2
1834,1-9
1835,2-2
1836,6-28
1837,1-1
1838,2-3
1839,5-30
1840,1-1
1841,5-30
1842,6-15
1843,6-8
1844,1-1
1845,2-3
1846,5-30
1847,1-1
1848,1-10
1849,2-33
1850,2-2
1851,2-33
1852,5-35
1853,2-33
1854,6-15
1855,2-25
1856,4-7
1857,2-6
1858,5-30
1859,2-2
1860,6-13
1861,6-32
1862,5-30
1863,2-6
1864,6-29
1865,5-12
1866,2-3
1867,6-19
1868,2-25
1869,1-1
1870,1-9
1871,6-15
1872,2-14
1873,5-30
1874,5-35
1875,1-9
1876,1-4
1877,5-12
1878,1-10
1879,1-4
1880,6-8
1881,2-3
1882,1-4
1883,1-10
1884,2-3
1885,6-28
1886,5-30
1887,1-9
1888,1-9
1889,6-15
1890,1-4
1891,2-3
1892,4-7
1893,2-2
1894,2-6
1895,2-6
1896,5-30
1897,2-2
1898,4-7
1899,6-19
1900,2-2
1901,1-1
1902,1-10
1903,2-6
1904,1-9
1905,2-6
1906,1-9
1907,2-33
1908,4-7
1909,1-9
1910,2-3
1911,5-30
1912,1-9
1913,2-2
1914,6-15
1915,4-7
1916,6-13
1917,1-9
1918,2-33
1919,5-30
1920,2-6
1921,2-6
1922,2-33
1923,2-2
1924,5-12
1925,1-9
1926,5-12
1927,1-9
1928,6-29
1929,2-6
1930,6-28
1931,2-6
1932,6-15
1933,2-33
1934,1-4
1935,5-35
1936,6-15
1937,2-6
1938,1-9
1939,2-25
1940,1-9
1941,2-11
1942,2-25
1943,6-15
1944,2-6
1945,5-30
1946,5-22
1947,5-30
1948,5-12
1949,5-30
1950,2-3
1951,5-30
1952,6-8
1953,2-3
1954,1-1
1955,2-17
1956,5-30
1957,1-4
1958,5-30
1959,4-7
1960,5-30
1961,2-6
1962,6-15
1963,2-33
1964,1-1
1965,6-28
1966,2-3
1967,1-9
1968,2-2
1969,6-34
1970,6-28
1971,1-1
1972,2-2
1973,5-12
1974,6-34
1975,1-1
1976,1-9
1977,1-4
1978,2-14
1979,6-15
1980,2-2
1981,2-6
1982,1-9
1983,5-35
1984,6-15
1985,5-30
1986,5-30
1987,4-7
1988,1-1
1989,5-30
1990,1-1
1991,5-12
1992,5-30
1993,5-30
1994,1-10
1995,1-10
1996,6-15
1997,1-9
1998,1-9
1999,5-35
2000,1-9
2001,6-15
2002,1-4
2003,5-30
2004,6-19
2005,1-1
2006,6-29
2007,1-1
2008,4-7
2009,5-12
2010,2-33
2011,6-15
2012,1-10
2013,2-3
2014,1-10
2015,2-33
2016,1-1
2017,1-9
2018,1-1
2019,4-7
2020,6-19
2021,5-22
2022,2-6
2023,1-1
2024,2-3
2025,2-2
2026,1-1
2027,1-9
2028,1-9
2029,2-3
2030,6-15
2031,5-30
2032,5-30
2033,2-33
2034,1-4
2035,6-15
2036,2-3
2037,6-8
2038,1-10
2039,6-15
2040,1-9
2041,2-33
2042,6-15
2043,2-2
2044,5-12
2045,2-6
2046,1-10
2047,1-9
2048,4-7
2049,4-7
2050,1-9
2051,1-9
2052,5-30
2053,2-6
2054,2-33
2055,1-9
2056,2-6
2057,1-4
2058,6-31
2059,6-34
2060,2-25
2061,2-6
2062,2-33
2063,5-35
2064,1-9
2065,2-3
2066,2-3
2067,1-4
2068,6-15
2069,1-10
2070,6-28
2071,2-6
2072,2-33
2073,2-25
2074,2-6
2075,2-6
2076,2-6
2077,6-28
2078,6-15
2079,5-30
2080,1-9
2081,2-3
2082,1-1
2083,1-9
2084,2-2
2085,1-10
2086,1-10
2087,2-6
2088,2-2
2089,2-33
2090,5-22
2091,2-33
2092,2-14
2093,2-6
2094,1-1
2095,6-21
2096,4-7
2097,5-35
2098,5-30
2099,2-33
2100,6-29
2101,6-21
2102,2-6
2103,1-4
2104,2-2
2105,1-9
2106,2-33
2107,2-11
2108,2-6
2109,6-15
2110,2-6
2111,1-1
2112,6-13
2113,1-1
2114,1-9
2115,6-29
2116,6-29
2117,1-4
2118,1-9
2119,1-9
2120,1-9
2121,2-3
2122,6-13
2123,6-15
2124,2-14
2125,5-30
2126,2-3
2127,6-13
2128,1-10
2129,6-13
2130,1-9
2131,2-2
2132,6-15
2133,2-3
2134,1-1
2135,1-1
2136,2-3
2137,1-4
2138,2-3
2139,6-31
2140,6-15
